geoid,state,county,coal2001,coal2002,coal2003,coal2004,coal2005,coal2006,coal2007,coal2008,coal2009,coal2010,coal2011,coal2012,coal2013,coal2014,coal2015,coal2016,coal2017,coal2018,coal2019,coal2020,coal2021,coal2022,coal2023,coal2024,surface2001,surface2002,surface2003,surface2004,surface2005,surface2006,surface2007,surface2008,surface2009,surface2010,surface2011,surface2012,surface2013,surface2014,surface2015,surface2016,surface2017,surface2018,surface2019,surface2020,surface2021,surface2022,surface2023,surface2024,underground2001,underground2002,underground2003,underground2004,underground2005,underground2006,underground2007,underground2008,underground2009,underground2010,underground2011,underground2012,underground2013,underground2014,underground2015,underground2016,underground2017,underground2018,underground2019,underground2020,underground2021,underground2022,underground2023,underground2024
01007,AL,Bibb,82906.0,10572.0,0.0,1904.0,105271.0,53466.0,34834.0,105082.0,0.0,127667.0,174558.0,119266.0,56004.0,71758.0,62598.0,37786.0,88362.0,113221.0,0.0,0.0,0.0,0.0,0.0,34001.0,82906.0,10572.0,0.0,0.0,57800.0,18519.0,32670.0,105082.0,0.0,127667.0,174558.0,119266.0,56004.0,71758.0,62598.0,37786.0,88362.0,113221.0,0.0,0.0,0.0,0.0,0.0,34001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01009,AL,Blount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148994.0,287985.0,236292.0,28807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148994.0,287985.0,236292.0,28807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01043,AL,Cullman,0.0,0.0,177381.0,473982.0,760060.0,633860.0,502596.0,153627.0,121860.0,69035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177381.0,473982.0,760060.0,633860.0,502596.0,153627.0,121860.0,69035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01049,AL,De Kalb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2913.0,17865.0,6487.0,13660.0,8477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2913.0,17865.0,6487.0,13660.0,8477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01057,AL,Fayette,0.0,9725.0,0.0,0.0,0.0,0.0,0.0,2923261.0,2706161.0,3037170.0,2707383.0,2249233.0,1440115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2923261.0,2706161.0,3037170.0,2707383.0,2249233.0,1440115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01059,AL,Franklin,0.0,0.0,46049.0,68020.0,84268.0,189984.0,152591.0,297012.0,158143.0,109530.0,197912.0,137106.0,235086.0,140688.0,146955.0,65373.0,7063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46049.0,68020.0,84268.0,189984.0,152591.0,297012.0,158143.0,109530.0,197912.0,137106.0,235086.0,140688.0,146955.0,65373.0,7063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01071,AL,Jackson,1200.0,0.0,55687.0,83685.0,106642.0,161372.0,247227.0,330866.0,184517.0,33623.0,28581.0,152348.0,69339.0,0.0,3939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55187.0,83685.0,100049.0,155464.0,247227.0,330866.0,184517.0,33623.0,28581.0,152348.0,69339.0,0.0,3939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,500.0,0.0,6593.0,5908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01073,AL,Jefferson,6724772.0,6540821.0,6395075.0,7093188.0,6021476.0,3703751.0,3593931.0,4401675.0,3658484.0,3644191.0,3490239.0,4694784.0,4800838.0,5469008.0,6570101.0,5680418.0,7432957.0,8528121.0,8899792.0,8299791.0,7713975.0,7464138.0,8230255.0,8424589.0,692443.0,591047.0,685444.0,1675235.0,1992581.0,1470291.0,1232408.0,1311024.0,1172129.0,1038224.0,1100738.0,1105505.0,952976.0,1154368.0,1355791.0,951481.0,967140.0,1241331.0,1087227.0,823700.0,803092.0,794249.0,398544.0,246756.0,5954232.0,5949774.0,5709631.0,5417953.0,4028895.0,2233460.0,2361523.0,3090651.0,2486355.0,2605967.0,2338695.0,3589279.0,3847862.0,4314640.0,5214310.0,4728937.0,6465817.0,7286790.0,7812565.0,7476091.0,6910883.0,6669889.0,7831711.0,8177833.0
01093,AL,Marion,70085.0,51678.0,36504.0,55552.0,156719.0,177615.0,60255.0,49581.0,198430.0,79174.0,119240.0,104852.0,0.0,0.0,0.0,0.0,0.0,15618.0,77299.0,0.0,0.0,0.0,0.0,0.0,70085.0,51678.0,36504.0,55552.0,156719.0,177615.0,60255.0,49581.0,198430.0,79174.0,119240.0,104852.0,0.0,0.0,0.0,0.0,0.0,15618.0,77299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01111,AL,Randolph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
